Chip_ID,Core_Voltage_V,Clock_Freq_GHz,Workload_Load_Pct,Ambient_Temp_C,Fan_Speed_RPM,Junction_Temp_C
IC-1001,1.075,3.71,26.7,29.3,1428.0,77.61
IC-1002,1.42,3.13,58.8,28.6,1393.0,89.19
IC-1003,1.289,2.31,88.6,20.5,2975.0,71.65
IC-1004,1.209,4.13,75.9,26.1,1399.0,93.44
IC-1005,0.944,3.67,82.6,26.8,1453.0,87.43
IC-1006,0.944,1.79,69.3,27.2,2623.0,64.02
IC-1007,0.885,4.48,72.3,30.4,1879.0,88.47
IC-1008,1.37,4.16,86.4,29.6,2664.0,94.67
IC-1009,1.211,4.62,32.5,30.9,957.0,92.23
IC-1010,1.275,3.81,54.0,33.8,1970.0,85.35
IC-1011,0.862,3.41,29.9,34.6,881.0,81.31
IC-1012,1.432,2.71,98.9,32.9,950.0,104.34
IC-1013,1.349,4.56,95.0,37.2,2975.0,102.01
IC-1014,0.977,4.32,13.5,20.3,1134.0,69.26
IC-1015,0.959,1.36,73.5,23.5,2078.0,65.12
IC-1016,0.96,1.29,93.3,20.1,1787.0,69.24
IC-1017,1.033,2.56,26.3,31.7,1634.0,68.6
IC-1018,1.165,4.12,61.1,36.2,2960.0,86.15
IC-1019,1.109,4.75,92.4,24.4,852.0,101.28
IC-1020,1.025,1.74,13.1,36.7,2393.0,57.73
IC-1021,1.217,3.34,72.8,21.1,3112.0,70.38
IC-1022,0.934,2.57,36.8,36.8,2144.0,72.4
IC-1023,1.025,4.69,93.2,26.3,3048.0,87.69
IC-1024,1.07,4.23,97.4,21.8,925.0,97.78
IC-1025,1.124,4.22,95.0,28.7,1805.0,97.83
IC-1026,1.321,2.89,52.7,24.6,1424.0,80.39
IC-1027,0.97,2.69,87.6,25.1,2554.0,73.33
IC-1028,1.159,2.18,86.0,25.5,3155.0,70.51
IC-1029,1.205,1.4,38.7,34.5,1416.0,73.9
IC-1030,0.878,4.31,84.6,29.7,2370.0,87.74
IC-1031,1.215,4.13,13.3,25.6,1275.0,77.81
IC-1032,0.952,4.8,63.7,31.0,2157.0,88.88
IC-1033,0.889,4.79,30.7,32.9,1913.0,81.35
IC-1034,1.419,3.2,20.9,24.9,3133.0,63.84
IC-1035,1.429,3.97,16.9,27.4,2260.0,74.77
IC-1036,1.335,4.6,72.7,22.2,1639.0,91.58
IC-1037,1.033,4.26,40.6,23.3,1074.0,80.77
IC-1038,0.909,2.09,75.2,32.3,1163.0,81.02
IC-1039,1.261,2.82,15.9,23.3,1341.0,66.6
IC-1040,1.114,1.66,38.4,29.5,1402.0,68.46
IC-1041,0.923,4.63,58.6,32.8,2841.0,80.66
IC-1042,1.147,3.38,81.2,21.9,2147.0,79.7
IC-1043,0.871,2.02,38.7,30.2,2056.0,60.07
IC-1044,1.396,3.62,66.3,24.6,1075.0,92.26
IC-1045,1.005,3.43,89.7,37.3,2864.0,88.06
IC-1046,1.248,2.49,65.4,28.7,2535.0,74.0
